xcoord,ycoord,dna_cluster
2364.115,3072.225,3
3484.52,1734.005,2
2279.745,2951.975,3
3061.825,1556.49,3
2274.22,2982.525,3
2986.945,1603.68,2
2650.7,2866.11,3
3013.595,1201.915,2
2009.02,3152.955,3
2388.555,3041.025,3
2672.15,3014.505,3
2202.07,3400.41,0
3187.21,1697.215,3
3357.9,1405.365,2
2860.39,1322.1,2
3112.46,1581.125,3
3333.395,1381.12,2
2434.25,3140.995,0
2559.57,2930.59,3
2335.905,3231.41,0
2795.195,1122.355,2
3000.53,1312.025,2
3029.13,1666.665,2
2623.27,2723.825,3
2607.28,2828.41,3
2144.025,3329.625,0
2729.805,2660.32,3
1147.185,3070.99,0
2741.375,1004.185,2
2534.74,3313.18,0
2358.395,2924.805,3
3094.455,1706.12,2
3205.02,1580.02,2
2526.03,2902.835,3
3238.625,1650.025,2
2532.465,2733.12,3
2465.515,2717.26,3
3382.34,1367.405,2
2847.195,1272.44,0
3030.625,1050.4,0
2568.345,2767.44,3
3031.665,1242.475,2
2963.155,1105.26,2
3059.875,1224.21,2
2413.645,3047.33,3
3406.65,1467.765,2
2324.465,3026.465,3
2826.395,1342.705,2
2424.63,3293.68,0
3016.52,1377.935,0
3185.52,1631.435,3
1283.75,2522.585,2
3439.15,1542.19,0
2835.69,1133.08,2
2354.43,2899.39,3
3025.555,1309.295,2
2329.73,2940.86,0
2874.625,1087.385,2
3052.205,1478.295,2
3136.12,1496.625,2
1238.965,2616.445,2
2301.715,3350.62,0
3171.545,1583.855,2
3143.205,1486.875,2
2613.585,3275.285,0
3298.1,1302.665,2
3450.005,1540.63,2
2719.015,1912.43,2
2859.35,2126.67,1
3150.29,1794.78,3
3067.415,1187.485,2
2920.385,1404.845,2
2233.335,3339.505,0
2323.945,2969.98,3
1295.97,2550.47,0
2631.525,3320.46,0
2860.845,1218.36,2
3109.535,1494.61,2
2797.47,3125.07,0
3196.83,1630.07,3
3064.62,1657.305,2
2736.24,1147.64,2
1953.185,3131.115,3
3058.185,1330.16,2
2091.57,3362.255,0
1651.13,2429.44,2
3200.795,1591.98,2
3142.555,1469.585,2
1308.71,2552.42,2
2810.145,1343.16,3
3009.37,1109.29,2
3080.74,1315.535,2
3200.6,1733.68,2
2463.89,3116.1,0
2783.43,1556.555,1
2416.115,2836.925,3
2369.64,3236.35,0
3203.265,1611.09,2
2660.515,1037.27,2
2453.945,1029.6,2
3060.135,1132.235,2
3032.965,1536.99,2
2578.485,1843.27,1
2984.735,1328.665,0
2942.745,1138.215,2
2109.64,2822.365,3
3067.74,1678.235,0
2483.78,2427.295,3
3238.105,1682.85,2
2534.545,2676.895,0
3094.65,1143.87,2
2225.08,3034.85,3
3233.23,1580.93,2
2429.57,2765.75,3
2962.57,1494.545,2
2863.25,1227.72,2
3448.185,1904.24,1
2239.705,2785.835,3
2200.965,2908.555,3
2381.99,3010.605,3
2208.44,3310.19,0
2856.1,1280.63,0
2883.075,1019.395,0
1132.69,2984.15,0
2475.395,1034.345,2
3463.005,2017.86,2
2988.44,1114.75,2
2321.67,3085.03,3
2244.06,3197.61,0
2428.53,3226.47,0
2884.05,1193.205,2
2361.515,1374.945,2
2329.86,2960.23,3
2844.205,1141.27,2
3316.95,1471.08,2
1251.38,2507.96,2
