gene,clone1_exp,clone2_exp,log2_fc,fdr
Afp,0.0024973585630583,0.130938123752495,-5.71233842734504,9.88131291682493e-324
Aqp5,0.189895303044856,0.0173652694610778,3.45092751901243,9.88131291682493e-324
Ctnnb1,0.378253770050908,1.60219560878244,-2.08262392723316,9.88131291682493e-324
Eps8,0.103064066852368,0.732135728542914,-2.82856970370659,9.88131291682493e-324
Msn,0.125732398424743,0.918962075848303,-2.86964887705504,9.88131291682493e-324
Nrn1,0.15474017865719,0.922355289421158,-2.57547473632802,9.88131291682493e-324
Rasgrp3,0.0137354720968207,0.262075848303393,-4.25400600498255,9.88131291682493e-324
S100a4,1.71021035443281,0.580039920159681,1.55994968674953,9.88131291682493e-324
Tfap2b,0.0143117856113726,0,Inf,9.88131291682493e-324
Tm4sf1,0.0155604648929017,0.621357285429142,-5.31946599945261,9.88131291682493e-324
Tubb5,0.229660935548939,0.960878243512974,-2.06484815263092,9.88131291682493e-324
Pmepa1,0.102103544328115,0.548702594810379,-2.4259914508499,2.8857938899132e-311
Ctsl,0.281048890596484,0.813572854291417,-1.53345042289538,5.9311231120881e-311
Trbc2,0.00461050811641533,0.153293413173653,-5.05522614086805,4.41807987242573e-309
Cmss1,1.33022764383825,4.11596806387226,-1.62955863088259,1.19312328557228e-303
Emp1,0.462491595427913,1.8063872255489,-1.96560813499516,2.22011672446458e-301
Krt79,0.140428393045817,0.0111776447105788,3.65114653302678,2.87860034337409e-299
Sema3c,0.0173854576889828,0.261676646706587,-3.9118322240066,2.50815025168368e-280
Gap43,0.00192104504850639,0.10059880239521,-5.71057796948061,2.66916956659885e-279
Hsp90ab1,1.55556622802805,4.35888223552894,-1.48651840801265,5.73540803090479e-279
Nedd4,0.246854288733071,0.99940119760479,-2.01740423687057,2.98102065495289e-275
Txn1,0.542311017193353,1.48922155688623,-1.45736602035642,4.61555270816824e-273
Cnksr2,0.00172894054365575,0.109580838323353,-5.98596347843094,4.27494013658962e-272
Tpr,0.306406685236769,1.10159680638723,-1.84607660240752,1.38100210407934e-269
Pls3,0.0913456920564787,0.517764471057884,-2.50288737425919,2.94832525421444e-269
Vim,0.961194890020171,2.58662674650699,-1.42817100250066,2.65526993213158e-267
Tmsb4x,1.54077418115455,3.60219560878244,-1.2252210923721,3.92620647087719e-263
mt-Cytb,2.50859667659207,5.52694610778443,-1.13960200724796,2.8844556167468e-260
Ezr,0.100182499279608,0.474650698602794,-2.24423569809394,7.21866813386107e-253
Dek,0.219095187782153,0.773852295409182,-1.8205004293071,3.54514274790438e-249
Lars2,0.725674767073288,2.19520958083832,-1.5969636720769,8.48568036548647e-249
Ybx3,0.539237345115743,1.59281437125748,-1.56258582346524,6.92562642057827e-247
Smc2,0.0990298722505043,0.481836327345309,-2.28260748425497,2.93988357119848e-246
Sox4,0.0727115550859668,0.440518962075848,-2.59894756516193,8.41633531903523e-242
Prkg2,0.145999423686485,0.615568862275449,-2.07595758245214,2.10280891706848e-237
Gphn,0.460666602631832,1.21936127744511,-1.40433072253407,3.20396779337177e-235
1700012B09Rik,0.00192104504850639,0.0668662674650699,-5.12131533132583,6.3324302544431e-232
Anxa5,0.381423494380943,1.21077844311377,-1.66646927796776,1.81054980292184e-231
Rplp0,0.489290173854577,1.17385229540918,-1.26248867175579,1.30647739929331e-229
