# all genes in this table have their expression variance significantly explained by subclone, tumor density, or both using a stepwise regression with a threshold of p<0.05
gene,clone_exp,density_exp
PLAG1,-0.790959674496906,0
LINC00948,-0.767859702776318,0
VWA5B1,-0.767340757238307,0
DOCK1,-0.763099340850537,0
ASPM,0.56968832309043,0.192226890756303
PTP4A2,0.605185881348522,0.145933813227027
FAM3D,0.744624074362338,0
RP11-392E22.11,-0.742218753788338,0
RAC1,0.600892932554718,0.135116448540489
HDGF,0.598305828338849,-0.134357668566148
OLFM2,-0.731246842343181,0
ESF1,-0.455397694634856,-0.26628882165971
GCC2,-0.711777902411666,0
XYLT2,-0.0441717999052325,-0.66343329046233
BRI3,0.342209138441257,0.362726558411587
FBL,0.663993312718111,0.0376510337812955
OXR1,-0.697038387165419,0
ARPC1B,0.584823372272362,-0.111880216366199
H19,-0.687524977575688,0
CDH11,0.0929300996694154,0.587909577073976
CBLC,0.254431709294612,-0.422523402373406
NENF,0.672589894083519,0
KDELR2,0.636059405694701,0.0351696862077958
SUCLA2,-0.583506410970392,0.0872180254080155
ILF2,0.521584164981267,0.147226550843805
OAZ1,0.542251061282203,-0.120956197080765
CHD7,-0.410761985023843,-0.251759582870101
SLC9A3,-0.655676290065924,0
PILRA,-0.15726818334949,-0.496837379425091
PPIB,0.0337694401682373,0.618624639174301
IFI6,-0.494086068323968,0.157849982327359
CENPF,0.561819298558122,0.0874402948972152
PARM1,0.564311722398775,0.0842093074122203
LMO7,-0.605524727117507,0.0427832635969283
CHST9,-0.644764411224636,0
AAK1,0.0714867469803744,-0.572940087567308
HNF4G,-0.643773559949739,0
COL1A1,0.105869063178308,0.535074428341757
TPM2,0.63995238526531,0
HSPA9,0.505447405231348,0.133077800373449
NR6A1,-0.543997044381533,-0.0879854968489155
NSMCE2,-0.631322100906522,0
ZNF655,0.562955179332972,0.064685070397344
USP3-AS1,-0.62749551985412,0
EEF2,0.627026042615188,0
FBXO10,-0.0686578445440427,-0.556703100733996
PYGB,-0.624773655753433,0
DOCK4,0.623618331468138,0
RP11-431J24.2,-0.535417809732149,-0.0874477752679821
UBA52,0.620914579140934,0
KIF5B,0.28631725095453,0.331981950711558
TPR,0.389254853022101,0.228673986972649
NDUFB2,0.616903443294004,0
COL3A1,0.0728180223140665,0.543232405484492
SNX27,0.460313671529465,0.155249154041645
BAZ1B,0.613805460750853,0
SET,0.304512256128064,0.308994497248624
ITGB2,0.103213561347631,0.509757129915672
LMAN2,0.478252693227306,-0.134218090965263
TOMM7,0.562183553512192,0.0501876855031135
NFIA,0.489199609593498,-0.122491466992386
CALD1,0.0869708406024139,0.52312012674903
MDN1,-0.0696740272642176,-0.540083994735087
H2AFZ,0.380195835879398,0.226959973371884
SHPRH,-0.148311445172511,0.457391477741651
RP11-95D17.1,-0.0496972695755088,-0.554763950506668
CLTA,0.381007418976962,-0.223365872705974
MT-ND3,-0.47793178616858,0.125920193812858
PXMP4,0.129120874018132,0.474639989449968
CPA6,0.603286591998119,0
TTC31,0,0.602528937407428
TTC18,-0.601928939962477,0
BRI3BP,0.129609773246616,-0.471031815784848
CHTOP,0.3847021257592,0.215311271882815
NUDT7,0,0.598994829169284
CTSA,-0.597246747630545,0
SELENBP1,0.383196244096469,0.212489869679835
ABCC1,-0.256879500798332,-0.338582228159927
SNAPIN,0.175363443827924,0.419138340249228
NOVA1-AS1,-0.50732098682891,0.0866197384884287
NBR1,-0.36555310061895,-0.227797139460243
H2AFV,0.484805502661952,0.108291558180805
RP11-126O1.4,-0.52964772408072,0.0632161880485032
SNRPF,0.223357157209639,-0.367680345767791
DDX17,0,0.589218940707284
GLIS3-AS1,-0.587794958445488,0
C10orf76,-0.139050049784781,0.448366621813195
ATP5I,0.405970149253731,-0.177945324921783
CALM2,0.0883647967329966,0.493361179937703
CBX3,0.581594542104477,0
RPS8,0.478175562898116,-0.102469598392206
CSPP1,-0.517213987020189,-0.0631154543683209
CCT3,0.426521050290201,-0.151978854753908
EIF2B3,0,-0.578001044009512
PA2G4,0.283345090769228,-0.29424396041481
GAPDH,0.577304468334163,0
GARS,0.576665008774317,0
MKI67,0.323186106704517,0.253469149202638
TPM3,0.575373594786979,0
NDUFS5,0.573564776354335,0
VPS13B,-0.572672189934463,0
AC034220.3,-0.256853620007974,0.313895339812326
GNB2L1,0.569393569393569,0
SF3B4,0.215963618133639,0.35235980806417
SLC15A2,-0.113248751119606,-0.45475867290876
HAUS1,0,0.567610740041814
LGALS3BP,-0.0691112955291198,0.497429697101736
GLRA2,-0.566435176303572,0
SAMD12,-0.566112136779579,0
NOTUM,-0.565989847715736,0
EXT1,-0.564723032069971,0
MYO1D,-0.564091275032706,0
MT-ND1,0,0.561899529673451
UQCRH,0.40717968121837,0.15460199593246
ASXL1,-0.326941056590295,0.234029813116511
POLQ,0.138713774258245,0.421778832615954
SEPT7,0.328005402380095,0.232368034516374
CALM3,0.493367724368055,0.0666414833002801
PTK2,-0.465483639059569,-0.0932399492266044
AKIRIN2,0.062451401677921,0.49621444649069
PYURF,0.381231657650567,0.177186502875511
RALGAPA1,-0.557935516921205,0
PFKFB2,0.191977464598388,0.365845521004464
TUBB4B,0.504546615656096,0.0521840491157809
LDHB,0.496459198138695,0.0596135631146343
DHCR24,0.507844418225962,0.0472030188090525
TRIP6,0.553200595625541,0
NEURL,-0.164286693047764,-0.387677563748552
FDPS,0.447217442365831,0.103916575724506
CHRM3,0.550017435271554,0
EIF3K,0.54957530788435,0
PTGS2,0.255194285165134,0.29351314988628
IL2RA,0.215936793581845,0.332725721377599
PDCD5,0.255977999830478,0.292538213051299
ARPC5,0.364769259849324,0.183106958658494
CPNE4,0,-0.547632012040306
FEN1,0.275828277600995,-0.271379967188205
COX7A1,0.140129236228186,-0.406703130846426
AKT1S1,0,-0.546494891578774
PLOD2,0.259541872066594,0.285872420816483
GNPNAT1,0.501709362213025,0.0435331527335409
NDUFB7,0.474645267523175,-0.0696912099528379
NASP,0.243700691465222,-0.299614809383181
GPR157,-0.178022313067393,-0.364609583543335
KHDRBS3,0.371147231402172,0.171309098266676
COX7C,0.435179030360336,0.107194272734705
SNHG8,0.248997868375541,-0.293359788714456
POLE3,0.184328582596668,-0.357700402910578
VAMP3,0.0636331533207583,0.478346812743857
LTN1,0,0.541714628108296
THY1,0.124079021797522,0.417539765268404
ELF1,-0.321832596910156,0.219749571352467
IGFBP7,0.182523350630096,0.358509513219669
