chr	bin_start	bin_end	bin_len	chr_ind	bin_ind
chr1	1	1000000	999999	1	1	0.230093730094
chr1	1000000	2000000	1000000	1	2	0.784661
chr1	2000000	3000000	1000000	1	3	0.846378
chr1	3000000	4000000	1000000	1	4	0.801818
chr1	4000000	5000000	1000000	1	5	0.92407
chr1	5000000	6000000	1000000	1	6	0.936153
chr1	6000000	7000000	1000000	1	7	0.879342
chr1	7000000	8000000	1000000	1	8	0.916965
chr1	8000000	9000000	1000000	1	9	0.852419
chr1	9000000	10000000	1000000	1	10	0.839681388889
chr1	10000000	11000000	1000000	1	11	0.854405611111
chr1	11000000	12000000	1000000	1	12	0.859854
chr1	12000000	13000000	1000000	1	13	0.7932545
chr1	13000000	14000000	1000000	1	14	0.21525
chr1	14000000	15000000	1000000	1	15	0.9171115
chr1	15000000	16000000	1000000	1	16	0.888505
chr1	16000000	17000000	1000000	1	17	0.7498375
chr1	17000000	18000000	1000000	1	18	0.7352335
chr1	18000000	19000000	1000000	1	19	0.947061
chr1	19000000	20000000	1000000	1	20	0.907031416667
chr1	20000000	21000000	1000000	1	21	0.895187583333
chr1	21000000	22000000	1000000	1	22	0.842831
chr1	22000000	23000000	1000000	1	23	0.879127
chr1	23000000	24000000	1000000	1	24	0.875157
chr1	24000000	25000000	1000000	1	25	0.851022
chr1	25000000	26000000	1000000	1	26	0.804097
chr1	26000000	27000000	1000000	1	27	0.849016
chr1	27000000	28000000	1000000	1	28	0.835248
chr1	28000000	29000000	1000000	1	29	0.79106475
chr1	29000000	30000000	1000000	1	30	0.75188475
chr1	30000000	31000000	1000000	1	31	0.9035655
chr1	31000000	32000000	1000000	1	32	0.874887
chr1	32000000	33000000	1000000	1	33	0.849665
chr1	33000000	34000000	1000000	1	34	0.859743
chr1	34000000	35000000	1000000	1	35	0.938563
chr1	35000000	36000000	1000000	1	36	0.865498
chr1	36000000	37000000	1000000	1	37	0.855475
chr1	37000000	38000000	1000000	1	38	0.933613
chr1	38000000	39000000	1000000	1	39	0.895018
chr1	39000000	40000000	1000000	1	40	0.847976
chr1	40000000	41000000	1000000	1	41	0.840068666667
chr1	41000000	42000000	1000000	1	42	0.899670333333
chr1	42000000	43000000	1000000	1	43	0.916801
chr1	43000000	44000000	1000000	1	44	0.876728
chr1	44000000	45000000	1000000	1	45	0.91072825
chr1	45000000	46000000	1000000	1	46	0.8247125
chr1	46000000	47000000	1000000	1	47	0.84153625
chr1	47000000	48000000	1000000	1	48	0.789737
chr1	48000000	49000000	1000000	1	49	0.907493
chr1	49000000	50000000	1000000	1	50	0.9217
chr1	50000000	51000000	1000000	1	51	0.885103722222
chr1	51000000	52000000	1000000	1	52	0.857044277778
chr1	52000000	53000000	1000000	1	53	0.861667
chr1	53000000	54000000	1000000	1	54	0.878904
chr1	54000000	55000000	1000000	1	55	0.898311
chr1	55000000	56000000	1000000	1	56	0.895398
chr1	56000000	57000000	1000000	1	57	0.928809
chr1	57000000	58000000	1000000	1	58	0.946085
chr1	58000000	59000000	1000000	1	59	0.917609
chr1	59000000	60000000	1000000	1	60	0.9232545
chr1	60000000	61000000	1000000	1	61	0.9053575
chr1	61000000	62000000	1000000	1	62	0.93183
chr1	62000000	63000000	1000000	1	63	0.860417
chr1	63000000	64000000	1000000	1	64	0.89124
chr1	64000000	65000000	1000000	1	65	0.920213777778
chr1	65000000	66000000	1000000	1	66	0.907688222222
chr1	66000000	67000000	1000000	1	67	0.89099
chr1	67000000	68000000	1000000	1	68	0.8914285
chr1	68000000	69000000	1000000	1	69	0.9212605
chr1	69000000	70000000	1000000	1	70	0.895229
chr1	70000000	71000000	1000000	1	71	0.905863
chr1	71000000	72000000	1000000	1	72	0.908681
chr1	72000000	73000000	1000000	1	73	0.943377
chr1	73000000	74000000	1000000	1	74	0.926589
chr1	74000000	75000000	1000000	1	75	0.931974
chr1	75000000	76000000	1000000	1	76	0.898823
chr1	76000000	77000000	1000000	1	77	0.898567916667
chr1	77000000	78000000	1000000	1	78	0.918374083333
chr1	78000000	79000000	1000000	1	79	0.877317
chr1	79000000	80000000	1000000	1	80	0.923378
chr1	80000000	81000000	1000000	1	81	0.909634
chr1	81000000	82000000	1000000	1	82	0.935081388889
chr1	82000000	83000000	1000000	1	83	0.929601611111
chr1	83000000	84000000	1000000	1	84	0.744802
chr1	84000000	85000000	1000000	1	85	0.931733
chr1	85000000	86000000	1000000	1	86	0.919912
chr1	86000000	87000000	1000000	1	87	0.884317
chr1	87000000	88000000	1000000	1	88	0.894362
chr1	88000000	89000000	1000000	1	89	0.951571
chr1	89000000	90000000	1000000	1	90	0.862361
chr1	90000000	91000000	1000000	1	91	0.90856
chr1	91000000	92000000	1000000	1	92	0.869138277778
chr1	92000000	93000000	1000000	1	93	0.869770805556
chr1	93000000	94000000	1000000	1	94	0.856033916667
chr1	94000000	95000000	1000000	1	95	0.896673
chr1	95000000	96000000	1000000	1	96	0.91088
chr1	96000000	97000000	1000000	1	97	0.91889
chr1	97000000	98000000	1000000	1	98	0.913627
chr1	98000000	99000000	1000000	1	99	0.951622
chr1	99000000	100000000	1000000	1	100	0.904857
chr1	100000000	101000000	1000000	1	101	0.904913
chr1	101000000	102000000	1000000	1	102	0.901881
chr1	102000000	103000000	1000000	1	103	0.9237795
chr1	103000000	104000000	1000000	1	104	0.719959
chr1	104000000	105000000	1000000	1	105	0.7659245
chr1	105000000	106000000	1000000	1	106	0.903184
chr1	106000000	107000000	1000000	1	107	0.916981
chr1	107000000	108000000	1000000	1	108	0.944748
chr1	108000000	109000000	1000000	1	109	0.7530145
chr1	109000000	110000000	1000000	1	110	0.850996638889
chr1	110000000	111000000	1000000	1	111	0.904009861111
chr1	111000000	112000000	1000000	1	112	0.910968
chr1	112000000	113000000	1000000	1	113	0.91697
chr1	113000000	114000000	1000000	1	114	0.842027
chr1	114000000	115000000	1000000	1	115	0.8834
chr1	115000000	116000000	1000000	1	116	0.902344
chr1	116000000	117000000	1000000	1	117	0.919458
chr1	117000000	118000000	1000000	1	118	0.878935
chr1	118000000	119000000	1000000	1	119	0.920246
chr1	119000000	120000000	1000000	1	120	0.880436
chr1	120000000	121000000	1000000	1	121	0.5323115
chr1	121000000	122000000	1000000	1	122	0.172222
chr1	122000000	123000000	1000000	1	123	0.0
chr1	123000000	124000000	1000000	1	124	0.0
chr1	124000000	125000000	1000000	1	125	0.0
chr1	125000000	126000000	1000000	1	126	0.0
chr1	126000000	127000000	1000000	1	127	0.0
chr1	127000000	128000000	1000000	1	128	0.0
chr1	128000000	129000000	1000000	1	129	0.0
chr1	129000000	130000000	1000000	1	130	0.0
chr1	130000000	131000000	1000000	1	131	0.0
chr1	131000000	132000000	1000000	1	132	0.0
chr1	132000000	133000000	1000000	1	133	0.0
chr1	133000000	134000000	1000000	1	134	0.0
chr1	134000000	135000000	1000000	1	135	0.0
chr1	135000000	136000000	1000000	1	136	0.0
chr1	136000000	137000000	1000000	1	137	0.0
chr1	137000000	138000000	1000000	1	138	0.0
chr1	138000000	139000000	1000000	1	139	0.0
chr1	139000000	140000000	1000000	1	140	0.0
chr1	140000000	141000000	1000000	1	141	0.0
chr1	141000000	142000000	1000000	1	142	0.0
chr1	142000000	143000000	1000000	1	143	0.089046
chr1	143000000	144000000	1000000	1	144	0.107678
chr1	144000000	145000000	1000000	1	145	0.175431583333
chr1	145000000	146000000	1000000	1	146	0.474356416667
chr1	146000000	147000000	1000000	1	147	0.4448385
chr1	147000000	148000000	1000000	1	148	0.469312527778
chr1	148000000	149000000	1000000	1	149	0.0657819722222
chr1	149000000	150000000	1000000	1	150	0.3841135
chr1	150000000	151000000	1000000	1	151	0.810594
chr1	151000000	152000000	1000000	1	152	0.8514
chr1	152000000	153000000	1000000	1	153	0.876903
chr1	153000000	154000000	1000000	1	154	0.855966
chr1	154000000	155000000	1000000	1	155	0.850851
chr1	155000000	156000000	1000000	1	156	0.7823425
chr1	156000000	157000000	1000000	1	157	0.8826475
chr1	157000000	158000000	1000000	1	158	0.895234
chr1	158000000	159000000	1000000	1	159	0.884752333333
chr1	159000000	160000000	1000000	1	160	0.893296666667
chr1	160000000	161000000	1000000	1	161	0.875971194445
chr1	161000000	162000000	1000000	1	162	0.756605805556
chr1	162000000	163000000	1000000	1	163	0.895112
chr1	163000000	164000000	1000000	1	164	0.922625833333
chr1	164000000	165000000	1000000	1	165	0.917891166667
chr1	165000000	166000000	1000000	1	166	0.914796
chr1	166000000	167000000	1000000	1	167	0.882855
chr1	167000000	168000000	1000000	1	168	0.912888
chr1	168000000	169000000	1000000	1	169	0.901925
chr1	169000000	170000000	1000000	1	170	0.904578
chr1	170000000	171000000	1000000	1	171	0.893856
chr1	171000000	172000000	1000000	1	172	0.8845995
chr1	172000000	173000000	1000000	1	173	0.906278166667
chr1	173000000	174000000	1000000	1	174	0.851459333333
chr1	174000000	175000000	1000000	1	175	0.842623
chr1	175000000	176000000	1000000	1	176	0.929307
chr1	176000000	177000000	1000000	1	177	0.918848
chr1	177000000	178000000	1000000	1	178	0.918771
chr1	178000000	179000000	1000000	1	179	0.889552
chr1	179000000	180000000	1000000	1	180	0.855232
chr1	180000000	181000000	1000000	1	181	0.897675
chr1	181000000	182000000	1000000	1	182	0.912692
chr1	182000000	183000000	1000000	1	183	0.90668
chr1	183000000	184000000	1000000	1	184	0.911244
chr1	184000000	185000000	1000000	1	185	0.907829
chr1	185000000	186000000	1000000	1	186	0.898062
chr1	186000000	187000000	1000000	1	187	0.911957
chr1	187000000	188000000	1000000	1	188	0.912914
chr1	188000000	189000000	1000000	1	189	0.933972
chr1	189000000	190000000	1000000	1	190	0.919744833333
chr1	190000000	191000000	1000000	1	191	0.949574666667
chr1	191000000	192000000	1000000	1	192	0.9293455
chr1	192000000	193000000	1000000	1	193	0.919131
chr1	193000000	194000000	1000000	1	194	0.916773611111
chr1	194000000	195000000	1000000	1	195	0.928809388889
chr1	195000000	196000000	1000000	1	196	0.93099975
chr1	196000000	197000000	1000000	1	197	0.85515025
chr1	197000000	198000000	1000000	1	198	0.918121
chr1	198000000	199000000	1000000	1	199	0.9403545
chr1	199000000	200000000	1000000	1	200	0.9039495
chr1	200000000	201000000	1000000	1	201	0.886378
chr1	201000000	202000000	1000000	1	202	0.9146895
chr1	202000000	203000000	1000000	1	203	0.8216815
chr1	203000000	204000000	1000000	1	204	0.877989666667
chr1	204000000	205000000	1000000	1	205	0.929129333333
chr1	205000000	206000000	1000000	1	206	0.8131255
chr1	206000000	207000000	1000000	1	207	0.5484405
chr1	207000000	208000000	1000000	1	208	0.855722
chr1	208000000	209000000	1000000	1	209	0.953537083333
chr1	209000000	210000000	1000000	1	210	0.934882916667
chr1	210000000	211000000	1000000	1	211	0.912478
chr1	211000000	212000000	1000000	1	212	0.851878
chr1	212000000	213000000	1000000	1	213	0.881213555556
chr1	213000000	214000000	1000000	1	214	0.890189444445
chr1	214000000	215000000	1000000	1	215	0.932122527778
chr1	215000000	216000000	1000000	1	216	0.926248472222
chr1	216000000	217000000	1000000	1	217	0.946184
chr1	217000000	218000000	1000000	1	218	0.933378
chr1	218000000	219000000	1000000	1	219	0.923765
chr1	219000000	220000000	1000000	1	220	0.926338
chr1	220000000	221000000	1000000	1	221	0.883539
chr1	221000000	222000000	1000000	1	222	0.9358485
chr1	222000000	223000000	1000000	1	223	0.8743875
chr1	223000000	224000000	1000000	1	224	0.82766
chr1	224000000	225000000	1000000	1	225	0.773191416667
chr1	225000000	226000000	1000000	1	226	0.853561583333
chr1	226000000	227000000	1000000	1	227	0.876399
chr1	227000000	228000000	1000000	1	228	0.87571925
chr1	228000000	229000000	1000000	1	229	0.866852777778
chr1	229000000	230000000	1000000	1	230	0.905886972222
chr1	230000000	231000000	1000000	1	231	0.930556
chr1	231000000	232000000	1000000	1	232	0.897453
chr1	232000000	233000000	1000000	1	233	0.92058175
chr1	233000000	234000000	1000000	1	234	0.92305325
chr1	234000000	235000000	1000000	1	235	0.893924
chr1	235000000	236000000	1000000	1	236	0.819073
chr1	236000000	237000000	1000000	1	237	0.872228
chr1	237000000	238000000	1000000	1	238	0.909104
chr1	238000000	239000000	1000000	1	239	0.923332305556
chr1	239000000	240000000	1000000	1	240	0.924908694445
chr1	240000000	241000000	1000000	1	241	0.905844
chr1	241000000	242000000	1000000	1	242	0.919052
chr1	242000000	243000000	1000000	1	243	0.812935666667
chr1	243000000	244000000	1000000	1	244	0.733685055556
chr1	244000000	245000000	1000000	1	245	0.890361277778
chr1	245000000	246000000	1000000	1	246	0.883943
chr1	246000000	247000000	1000000	1	247	0.881912
chr1	247000000	248000000	1000000	1	248	0.850094
chr1	248000000	249000000	1000000	1	249	0.6520825
chr1	249000000	249250621	250621	1	250	0.578175811285
chr2	1	1000000	999999	2	251	0.909702409702
chr2	1000000	2000000	1000000	2	252	0.894908
chr2	2000000	3000000	1000000	2	253	0.934282
chr2	3000000	4000000	1000000	2	254	0.854902
chr2	4000000	5000000	1000000	2	255	0.925249
chr2	5000000	6000000	1000000	2	256	0.83274425
chr2	6000000	7000000	1000000	2	257	0.951528083333
chr2	7000000	8000000	1000000	2	258	0.950190666667
chr2	8000000	9000000	1000000	2	259	0.947331
chr2	9000000	10000000	1000000	2	260	0.892779
chr2	10000000	11000000	1000000	2	261	0.890473
chr2	11000000	12000000	1000000	2	262	0.905736
chr2	12000000	13000000	1000000	2	263	0.931894
chr2	13000000	14000000	1000000	2	264	0.909897
chr2	14000000	15000000	1000000	2	265	0.915853
chr2	15000000	16000000	1000000	2	266	0.932559
chr2	16000000	17000000	1000000	2	267	0.879069
chr2	17000000	18000000	1000000	2	268	0.932741
chr2	18000000	19000000	1000000	2	269	0.915627083333
chr2	19000000	20000000	1000000	2	270	0.895198916667
chr2	20000000	21000000	1000000	2	271	0.921789
chr2	21000000	22000000	1000000	2	272	0.906656
chr2	22000000	23000000	1000000	2	273	0.93684
chr2	23000000	24000000	1000000	2	274	0.938268
chr2	24000000	25000000	1000000	2	275	0.862472
chr2	25000000	26000000	1000000	2	276	0.86879775
chr2	26000000	27000000	1000000	2	277	0.87684325
chr2	27000000	28000000	1000000	2	278	0.868225083333
chr2	28000000	29000000	1000000	2	279	0.915762916667
chr2	29000000	30000000	1000000	2	280	0.928041
chr2	30000000	31000000	1000000	2	281	0.926197
chr2	31000000	32000000	1000000	2	282	0.903992055556
chr2	32000000	33000000	1000000	2	283	0.840438944445
chr2	33000000	34000000	1000000	2	284	0.889537
chr2	34000000	35000000	1000000	2	285	0.892131
chr2	35000000	36000000	1000000	2	286	0.909036
chr2	36000000	37000000	1000000	2	287	0.912771
chr2	37000000	38000000	1000000	2	288	0.894283
chr2	38000000	39000000	1000000	2	289	0.877492
chr2	39000000	40000000	1000000	2	290	0.894583
chr2	40000000	41000000	1000000	2	291	0.922459
chr2	41000000	42000000	1000000	2	292	0.922594
chr2	42000000	43000000	1000000	2	293	0.888867
chr2	43000000	44000000	1000000	2	294	0.892935
chr2	44000000	45000000	1000000	2	295	0.891711
