chr	bin_start	bin_end	bin_len	chr_ind	bin_ind
chr1	1	500000	499999	1	1
chr1	500000	1000000	500000	1	2
chr1	1000000	1500000	500000	1	3
chr1	1500000	2000000	500000	1	4
chr1	2000000	2500000	500000	1	5
chr1	2500000	3000000	500000	1	6
chr1	3000000	3500000	500000	1	7
chr1	3500000	4000000	500000	1	8
chr1	4000000	4500000	500000	1	9
chr1	4500000	5000000	500000	1	10
chr1	5000000	5500000	500000	1	11
chr1	5500000	6000000	500000	1	12
chr1	6000000	6500000	500000	1	13
chr1	6500000	7000000	500000	1	14
chr1	7000000	7500000	500000	1	15
chr1	7500000	8000000	500000	1	16
chr1	8000000	8500000	500000	1	17
chr1	8500000	9000000	500000	1	18
chr1	9000000	9500000	500000	1	19
chr1	9500000	10000000	500000	1	20
chr1	10000000	10500000	500000	1	21
chr1	10500000	11000000	500000	1	22
chr1	11000000	11500000	500000	1	23
chr1	11500000	12000000	500000	1	24
chr1	12000000	12500000	500000	1	25
chr1	12500000	13000000	500000	1	26
chr1	13000000	13500000	500000	1	27
chr1	13500000	14000000	500000	1	28
chr1	14000000	14500000	500000	1	29
chr1	14500000	15000000	500000	1	30
chr1	15000000	15500000	500000	1	31
chr1	15500000	16000000	500000	1	32
chr1	16000000	16500000	500000	1	33
chr1	16500000	17000000	500000	1	34
chr1	17000000	17500000	500000	1	35
chr1	17500000	18000000	500000	1	36
chr1	18000000	18500000	500000	1	37
chr1	18500000	19000000	500000	1	38
chr1	19000000	19500000	500000	1	39
chr1	19500000	20000000	500000	1	40
chr1	20000000	20500000	500000	1	41
chr1	20500000	21000000	500000	1	42
chr1	21000000	21500000	500000	1	43
chr1	21500000	22000000	500000	1	44
chr1	22000000	22500000	500000	1	45
chr1	22500000	23000000	500000	1	46
chr1	23000000	23500000	500000	1	47
chr1	23500000	24000000	500000	1	48
chr1	24000000	24500000	500000	1	49
chr1	24500000	25000000	500000	1	50
chr1	25000000	25500000	500000	1	51
chr1	25500000	26000000	500000	1	52
chr1	26000000	26500000	500000	1	53
chr1	26500000	27000000	500000	1	54
chr1	27000000	27500000	500000	1	55
chr1	27500000	28000000	500000	1	56
chr1	28000000	28500000	500000	1	57
chr1	28500000	29000000	500000	1	58
chr1	29000000	29500000	500000	1	59
chr1	29500000	30000000	500000	1	60
chr1	30000000	30500000	500000	1	61
chr1	30500000	31000000	500000	1	62
chr1	31000000	31500000	500000	1	63
chr1	31500000	32000000	500000	1	64
chr1	32000000	32500000	500000	1	65
chr1	32500000	33000000	500000	1	66
chr1	33000000	33500000	500000	1	67
chr1	33500000	34000000	500000	1	68
chr1	34000000	34500000	500000	1	69
chr1	34500000	35000000	500000	1	70
chr1	35000000	35500000	500000	1	71
chr1	35500000	36000000	500000	1	72
chr1	36000000	36500000	500000	1	73
chr1	36500000	37000000	500000	1	74
chr1	37000000	37500000	500000	1	75
chr1	37500000	38000000	500000	1	76
chr1	38000000	38500000	500000	1	77
chr1	38500000	39000000	500000	1	78
chr1	39000000	39500000	500000	1	79
chr1	39500000	40000000	500000	1	80
chr1	40000000	40500000	500000	1	81
chr1	40500000	41000000	500000	1	82
chr1	41000000	41500000	500000	1	83
chr1	41500000	42000000	500000	1	84
chr1	42000000	42500000	500000	1	85
chr1	42500000	43000000	500000	1	86
chr1	43000000	43500000	500000	1	87
chr1	43500000	44000000	500000	1	88
chr1	44000000	44500000	500000	1	89
chr1	44500000	45000000	500000	1	90
chr1	45000000	45500000	500000	1	91
