chr	bin_start	bin_end	bin_len	chr_ind	bin_ind
chr1	1	1000000	999999	1	1
chr1	1000000	2000000	1000000	1	2
chr1	2000000	3000000	1000000	1	3
chr1	3000000	4000000	1000000	1	4
chr1	4000000	5000000	1000000	1	5
chr1	5000000	6000000	1000000	1	6
chr1	6000000	7000000	1000000	1	7
chr1	7000000	8000000	1000000	1	8
chr1	8000000	9000000	1000000	1	9
chr1	9000000	10000000	1000000	1	10
chr1	10000000	11000000	1000000	1	11
chr1	11000000	12000000	1000000	1	12
chr1	12000000	13000000	1000000	1	13
chr1	13000000	14000000	1000000	1	14
chr1	14000000	15000000	1000000	1	15
chr1	15000000	16000000	1000000	1	16
chr1	16000000	17000000	1000000	1	17
chr1	17000000	18000000	1000000	1	18
chr1	18000000	19000000	1000000	1	19
chr1	19000000	20000000	1000000	1	20
chr1	20000000	21000000	1000000	1	21
chr1	21000000	22000000	1000000	1	22
chr1	22000000	23000000	1000000	1	23
chr1	23000000	24000000	1000000	1	24
chr1	24000000	25000000	1000000	1	25
chr1	25000000	26000000	1000000	1	26
chr1	26000000	27000000	1000000	1	27
chr1	27000000	28000000	1000000	1	28
chr1	28000000	29000000	1000000	1	29
chr1	29000000	30000000	1000000	1	30
chr1	30000000	31000000	1000000	1	31
chr1	31000000	32000000	1000000	1	32
chr1	32000000	33000000	1000000	1	33
chr1	33000000	34000000	1000000	1	34
chr1	34000000	35000000	1000000	1	35
chr1	35000000	36000000	1000000	1	36
chr1	36000000	37000000	1000000	1	37
chr1	37000000	38000000	1000000	1	38
chr1	38000000	39000000	1000000	1	39
chr1	39000000	40000000	1000000	1	40
chr1	40000000	41000000	1000000	1	41
chr1	41000000	42000000	1000000	1	42
chr1	42000000	43000000	1000000	1	43
chr1	43000000	44000000	1000000	1	44
chr1	44000000	45000000	1000000	1	45
chr1	45000000	46000000	1000000	1	46
chr1	46000000	47000000	1000000	1	47
chr1	47000000	48000000	1000000	1	48
chr1	48000000	49000000	1000000	1	49
chr1	49000000	50000000	1000000	1	50
chr1	50000000	51000000	1000000	1	51
chr1	51000000	52000000	1000000	1	52
chr1	52000000	53000000	1000000	1	53
chr1	53000000	54000000	1000000	1	54
chr1	54000000	55000000	1000000	1	55
chr1	55000000	56000000	1000000	1	56
chr1	56000000	57000000	1000000	1	57
chr1	57000000	58000000	1000000	1	58
chr1	58000000	59000000	1000000	1	59
chr1	59000000	60000000	1000000	1	60
chr1	60000000	61000000	1000000	1	61
chr1	61000000	62000000	1000000	1	62
chr1	62000000	63000000	1000000	1	63
chr1	63000000	64000000	1000000	1	64
chr1	64000000	65000000	1000000	1	65
chr1	65000000	66000000	1000000	1	66
chr1	66000000	67000000	1000000	1	67
chr1	67000000	68000000	1000000	1	68
chr1	68000000	69000000	1000000	1	69
chr1	69000000	70000000	1000000	1	70
chr1	70000000	71000000	1000000	1	71
chr1	71000000	72000000	1000000	1	72
chr1	72000000	73000000	1000000	1	73
chr1	73000000	74000000	1000000	1	74
chr1	74000000	75000000	1000000	1	75
chr1	75000000	76000000	1000000	1	76
chr1	76000000	77000000	1000000	1	77
chr1	77000000	78000000	1000000	1	78
chr1	78000000	79000000	1000000	1	79
