chr	bin_start	bin_end	bin_len	chr_ind	bin_ind
chr1	1	2500000	2499999	1	1	0.0
chr1	2500000	5000000	2500000	1	2	0.651540011111
chr1	5000000	7500000	2500000	1	3	0.784981388889
chr1	7500000	10000000	2500000	1	4	0.7889692
chr1	10000000	12500000	2500000	1	5	0.8167556
chr1	12500000	15000000	2500000	1	6	0.8687936
chr1	15000000	17500000	2500000	1	7	0.807447277778
chr1	17500000	20000000	2500000	1	8	0.810355122222
chr1	20000000	22500000	2500000	1	9	0.8373892
chr1	22500000	25000000	2500000	1	10	0.8728008
chr1	25000000	27500000	2500000	1	11	0.8414384
chr1	27500000	30000000	2500000	1	12	0.8341868
chr1	30000000	32500000	2500000	1	13	0.8033892
chr1	32500000	35000000	2500000	1	14	0.8682408
chr1	35000000	37500000	2500000	1	15	0.911556055556
chr1	37500000	40000000	2500000	1	16	0.936317144445
chr1	40000000	42500000	2500000	1	17	0.9167028
chr1	42500000	45000000	2500000	1	18	0.858394
chr1	45000000	47500000	2500000	1	19	0.750043933334
chr1	47500000	50000000	2500000	1	20	0.797510066667
chr1	50000000	52500000	2500000	1	21	0.8817144
chr1	52500000	55000000	2500000	1	22	0.8285868
chr1	55000000	57500000	2500000	1	23	0.8877804
chr1	57500000	60000000	2500000	1	24	0.8993412
chr1	60000000	62500000	2500000	1	25	0.9020412
chr1	62500000	65000000	2500000	1	26	0.9070576
chr1	65000000	67500000	2500000	1	27	0.868616
chr1	67500000	70000000	2500000	1	28	0.8739624
chr1	70000000	72500000	2500000	1	29	0.9175508
chr1	72500000	75000000	2500000	1	30	0.914036
chr1	75000000	77500000	2500000	1	31	0.8961376
chr1	77500000	80000000	2500000	1	32	0.8676348
chr1	80000000	82500000	2500000	1	33	0.8859364
chr1	82500000	85000000	2500000	1	34	0.8647106
chr1	85000000	87500000	2500000	1	35	0.7186634
chr1	87500000	90000000	2500000	1	36	0.9202616
chr1	90000000	92500000	2500000	1	37	0.9466098
chr1	92500000	95000000	2500000	1	38	0.8305806
chr1	95000000	97500000	2500000	1	39	0.806798
chr1	97500000	100000000	2500000	1	40	0.8279708
chr1	100000000	102500000	2500000	1	41	0.8064
chr1	102500000	105000000	2500000	1	42	0.826476
chr1	105000000	107500000	2500000	1	43	0.8542184
chr1	107500000	110000000	2500000	1	44	0.8277224
