chr	bin_start	bin_end	bin_len	chr_ind	bin_ind
chr1	1	10000000	9999999	1	1	0.556372705637
chr1	10000000	20000000	10000000	1	2	0.825837899999
chr1	20000000	30000000	10000000	1	3	0.846453799999
chr1	30000000	40000000	10000000	1	4	0.879875799999
chr1	40000000	50000000	10000000	1	5	0.830662699999
chr1	50000000	60000000	10000000	1	6	0.874355699999
chr1	60000000	70000000	10000000	1	7	0.887919299999
chr1	70000000	80000000	10000000	1	8	0.898839799999
chr1	80000000	90000000	10000000	1	9	0.847392999999
chr1	90000000	100000000	10000000	1	10	0.852989799999
chr1	100000000	110000000	10000000	1	11	0.828704199999
chr1	110000000	120000000	10000000	1	12	0.817300999999
chr1	120000000	130000000	10000000	1	13	0.896315399999
chr1	130000000	140000000	10000000	1	14	0.903073399999
chr1	140000000	150000000	10000000	1	15	0.818691277777
chr1	150000000	160000000	10000000	1	16	0.911732522222
chr1	160000000	170000000	10000000	1	17	0.897736799999
chr1	170000000	180000000	10000000	1	18	0.867918399999
chr1	180000000	190000000	10000000	1	19	0.918261499999
chr1	190000000	195471971	5471971	1	20	0.891942318408
chr2	1	10000000	9999999	2	21	0.618396711839
chr2	10000000	20000000	10000000	2	22	0.852984208332
chr2	20000000	30000000	10000000	2	23	0.869916691666
chr2	30000000	40000000	10000000	2	24	0.899110799999
chr2	40000000	50000000	10000000	2	25	0.884819099999
chr2	50000000	60000000	10000000	2	26	0.863188199999
chr2	60000000	70000000	10000000	2	27	0.897804999999
chr2	70000000	80000000	10000000	2	28	0.929831799999
chr2	80000000	90000000	10000000	2	29	0.800125099998
chr2	90000000	100000000	10000000	2	30	0.852193999999
chr2	100000000	110000000	10000000	2	31	0.867178999999
chr2	110000000	120000000	10000000	2	32	0.879910199999
chr2	120000000	130000000	10000000	2	33	0.902436999999
chr2	130000000	140000000	10000000	2	34	0.902737899999
chr2	140000000	150000000	10000000	2	35	0.900499599999
chr2	150000000	160000000	10000000	2	36	0.873955999999
chr2	160000000	170000000	10000000	2	37	0.933157199999
chr2	170000000	180000000	10000000	2	38	0.667228016666
chr2	180000000	182113224	2113224	2	39	0.876257478305
chr3	1	10000000	9999999	3	40	0.553621555362
chr3	10000000	20000000	10000000	3	41	0.773471149999
chr3	20000000	30000000	10000000	3	42	0.839332499999
chr3	30000000	40000000	10000000	3	43	0.883921899999
chr3	40000000	50000000	10000000	3	44	0.821896558332
chr3	50000000	60000000	10000000	3	45	0.883619863888
chr3	60000000	70000000	10000000	3	46	0.842294527777
chr3	70000000	80000000	10000000	3	47	0.838585849999
chr3	80000000	90000000	10000000	3	48	0.897081699999
chr3	90000000	100000000	10000000	3	49	0.775906397221
chr3	100000000	110000000	10000000	3	50	0.904678102777
chr3	110000000	120000000	10000000	3	51	0.834934899999
chr3	120000000	130000000	10000000	3	52	0.897567599999
chr3	130000000	140000000	10000000	3	53	0.877503599999
chr3	140000000	150000000	10000000	3	54	0.910265999999
chr3	150000000	160000000	10000000	3	55	0.872253549999
chr3	160000000	160039680	39680	3	56	0.0
chr4	1	10000000	9999999	4	57	0.558029722469
chr4	10000000	20000000	10000000	4	58	0.827963958332
chr4	20000000	30000000	10000000	4	59	0.828050024999
chr4	30000000	40000000	10000000	4	60	0.862931699999
chr4	40000000	50000000	10000000	4	61	0.814390749999
chr4	50000000	60000000	10000000	4	62	0.881704638888
chr4	60000000	70000000	10000000	4	63	0.714260911111
chr4	70000000	80000000	10000000	4	64	0.822542399999
chr4	80000000	90000000	10000000	4	65	0.871107799999
chr4	90000000	100000000	10000000	4	66	0.862832849999
chr4	100000000	110000000	10000000	4	67	0.911751649999
chr4	110000000	120000000	10000000	4	68	0.840428799999
chr4	120000000	130000000	10000000	4	69	0.847444099999
chr4	130000000	140000000	10000000	4	70	0.919528199999
chr4	140000000	150000000	10000000	4	71	0.707511599999
chr4	150000000	156508116	6508116	4	72	0.912417587516
chr5	1	10000000	9999999	5	73	0.564116878634
chr5	10000000	20000000	10000000	5	74	0.707194327777
chr5	20000000	30000000	10000000	5	75	0.863350199999
chr5	30000000	40000000	10000000	5	76	0.907722799999
chr5	40000000	50000000	10000000	5	77	0.861192699999
chr5	50000000	60000000	10000000	5	78	0.865608652777
chr5	60000000	70000000	10000000	5	79	0.869438847221
chr5	70000000	80000000	10000000	5	80	0.872786399999
chr5	80000000	90000000	10000000	5	81	0.839407849999
chr5	90000000	100000000	10000000	5	82	0.70075875
chr5	100000000	110000000	10000000	5	83	0.850643499999
chr5	110000000	120000000	10000000	5	84	0.937828099999
chr5	120000000	130000000	10000000	5	85	0.913275499999
chr5	130000000	140000000	10000000	5	86	0.907731549999
chr5	140000000	150000000	10000000	5	87	0.882201649999
chr5	150000000	151834684	1834684	5	88	0.829482079748
chr6	1	10000000	9999999	6	89	0.579930307993
chr6	10000000	20000000	10000000	6	90	0.826953272222
chr6	20000000	30000000	10000000	6	91	0.860603427777
chr6	30000000	40000000	10000000	6	92	0.911296299999
chr6	40000000	50000000	10000000	6	93	0.836220899999
chr6	50000000	60000000	10000000	6	94	0.881227991665
chr6	60000000	70000000	10000000	6	95	0.789342808332
chr6	70000000	80000000	10000000	6	96	0.843160999999
chr6	80000000	90000000	10000000	6	97	0.894353008332
chr6	90000000	100000000	10000000	6	98	0.926653391666
chr6	100000000	110000000	10000000	6	99	0.868535299999
chr6	110000000	120000000	10000000	6	100	0.897983499999
chr6	120000000	130000000	10000000	6	101	0.835202833332
chr6	130000000	140000000	10000000	6	102	0.808651666666
chr6	140000000	149736546	9736546	6	103	0.887915642774
chr7	1	10000000	9999999	7	104	0.319655931966
chr7	10000000	20000000	10000000	7	105	0.637669649999
