chr	bin_start	bin_end	bin_len	chr_ind	bin_ind
chr1	1	2500000	2499999	1	1
chr1	2500000	5000000	2500000	1	2
chr1	5000000	7500000	2500000	1	3
chr1	7500000	10000000	2500000	1	4
chr1	10000000	12500000	2500000	1	5
chr1	12500000	15000000	2500000	1	6
chr1	15000000	17500000	2500000	1	7
chr1	17500000	20000000	2500000	1	8
chr1	20000000	22500000	2500000	1	9
chr1	22500000	25000000	2500000	1	10
chr1	25000000	27500000	2500000	1	11
chr1	27500000	30000000	2500000	1	12
chr1	30000000	32500000	2500000	1	13
chr1	32500000	35000000	2500000	1	14
chr1	35000000	37500000	2500000	1	15
chr1	37500000	40000000	2500000	1	16
chr1	40000000	42500000	2500000	1	17
chr1	42500000	45000000	2500000	1	18
chr1	45000000	47500000	2500000	1	19
chr1	47500000	50000000	2500000	1	20
chr1	50000000	52500000	2500000	1	21
chr1	52500000	55000000	2500000	1	22
chr1	55000000	57500000	2500000	1	23
chr1	57500000	60000000	2500000	1	24
chr1	60000000	62500000	2500000	1	25
chr1	62500000	65000000	2500000	1	26
chr1	65000000	67500000	2500000	1	27
chr1	67500000	70000000	2500000	1	28
chr1	70000000	72500000	2500000	1	29
chr1	72500000	75000000	2500000	1	30
chr1	75000000	77500000	2500000	1	31
chr1	77500000	80000000	2500000	1	32
chr1	80000000	82500000	2500000	1	33
chr1	82500000	85000000	2500000	1	34
chr1	85000000	87500000	2500000	1	35
chr1	87500000	90000000	2500000	1	36
chr1	90000000	92500000	2500000	1	37
chr1	92500000	95000000	2500000	1	38
chr1	95000000	97500000	2500000	1	39
chr1	97500000	100000000	2500000	1	40
chr1	100000000	102500000	2500000	1	41
chr1	102500000	105000000	2500000	1	42
chr1	105000000	107500000	2500000	1	43
chr1	107500000	110000000	2500000	1	44
chr1	110000000	112500000	2500000	1	45
chr1	112500000	115000000	2500000	1	46
chr1	115000000	117500000	2500000	1	47
chr1	117500000	120000000	2500000	1	48
chr1	120000000	122500000	2500000	1	49
chr1	122500000	125000000	2500000	1	50
chr1	125000000	127500000	2500000	1	51
chr1	127500000	130000000	2500000	1	52
chr1	130000000	132500000	2500000	1	53
chr1	132500000	135000000	2500000	1	54
chr1	135000000	137500000	2500000	1	55
chr1	137500000	140000000	2500000	1	56
chr1	140000000	142500000	2500000	1	57
chr1	142500000	145000000	2500000	1	58
chr1	145000000	147500000	2500000	1	59
chr1	147500000	150000000	2500000	1	60
chr1	150000000	152500000	2500000	1	61
chr1	152500000	155000000	2500000	1	62
chr1	155000000	157500000	2500000	1	63
chr1	157500000	160000000	2500000	1	64
chr1	160000000	162500000	2500000	1	65
chr1	162500000	165000000	2500000	1	66
chr1	165000000	167500000	2500000	1	67
chr1	167500000	170000000	2500000	1	68
chr1	170000000	172500000	2500000	1	69
chr1	172500000	175000000	2500000	1	70
chr1	175000000	177500000	2500000	1	71
chr1	177500000	180000000	2500000	1	72
chr1	180000000	182500000	2500000	1	73
chr1	182500000	185000000	2500000	1	74
