chr	bin_start	bin_end	bin_len	chr_ind	bin_ind
chr1	1	1000000	999999	1	1	9000
chr1	1000000	2000000	1000000	1	2	9000
chr1	2000000	3000000	1000000	1	3	9000
chr1	3000000	4000000	1000000	1	4	-3.00030745023
chr1	4000000	5000000	1000000	1	5	-0.111485359013
chr1	5000000	6000000	1000000	1	6	-1.42723195496
chr1	6000000	7000000	1000000	1	7	-1.75197324663
chr1	7000000	8000000	1000000	1	8	-0.986192465454
chr1	8000000	9000000	1000000	1	9	-1.72595583584
chr1	9000000	10000000	1000000	1	10	0.541362422596
chr1	10000000	11000000	1000000	1	11	-0.0786655001974
chr1	11000000	12000000	1000000	1	12	0.256783097963
chr1	12000000	13000000	1000000	1	13	0.00772115554327
chr1	13000000	14000000	1000000	1	14	1.93140450056
chr1	14000000	15000000	1000000	1	15	-1.06423431202
chr1	15000000	16000000	1000000	1	16	-1.88835027318
chr1	16000000	17000000	1000000	1	17	0.0658057543611
chr1	17000000	18000000	1000000	1	18	-1.72747219297
chr1	18000000	19000000	1000000	1	19	-3.29437781134
chr1	19000000	20000000	1000000	1	20	-3.61398181359
chr1	20000000	21000000	1000000	1	21	-1.35368090207
chr1	21000000	22000000	1000000	1	22	-1.44697701099
chr1	22000000	23000000	1000000	1	23	-2.86230671464
chr1	23000000	24000000	1000000	1	24	-2.93861085094
chr1	24000000	25000000	1000000	1	25	-2.82519273479
chr1	25000000	26000000	1000000	1	26	-3.56254599993
chr1	26000000	27000000	1000000	1	27	-3.2956782155
chr1	27000000	28000000	1000000	1	28	-3.52185811642
chr1	28000000	29000000	1000000	1	29	-3.4971915841
chr1	29000000	30000000	1000000	1	30	-3.59681936956
chr1	30000000	31000000	1000000	1	31	-1.48838559535
chr1	31000000	32000000	1000000	1	32	-2.84404264225
chr1	32000000	33000000	1000000	1	33	-3.73086479503
chr1	33000000	34000000	1000000	1	34	0.560285776122
chr1	34000000	35000000	1000000	1	35	1.65499657275
chr1	35000000	36000000	1000000	1	36	0.441854029097
chr1	36000000	37000000	1000000	1	37	3.32332398592
chr1	37000000	38000000	1000000	1	38	1.9198333957
chr1	38000000	39000000	1000000	1	39	-0.268023674854
chr1	39000000	40000000	1000000	1	40	1.0697439052
chr1	40000000	41000000	1000000	1	41	-2.19669017293
chr1	41000000	42000000	1000000	1	42	-3.66268011733
chr1	42000000	43000000	1000000	1	43	-2.38525995857
chr1	43000000	44000000	1000000	1	44	-0.420411557358
chr1	44000000	45000000	1000000	1	45	-1.39805352414
chr1	45000000	46000000	1000000	1	46	-2.34758133538
chr1	46000000	47000000	1000000	1	47	-2.44196912499
chr1	47000000	48000000	1000000	1	48	-3.14874497636
chr1	48000000	49000000	1000000	1	49	-3.47713442931
chr1	49000000	50000000	1000000	1	50	-3.39100176585
chr1	50000000	51000000	1000000	1	51	-3.56328478458
chr1	51000000	52000000	1000000	1	52	-1.36251883531
chr1	52000000	53000000	1000000	1	53	-0.0247499888277
chr1	53000000	54000000	1000000	1	54	0.35238537151
chr1	54000000	55000000	1000000	1	55	0.307719987532
chr1	55000000	56000000	1000000	1	56	-0.230179403859
chr1	56000000	57000000	1000000	1	57	-3.18479909706
chr1	57000000	58000000	1000000	1	58	0.318408974766
chr1	58000000	59000000	1000000	1	59	1.88971896368
chr1	59000000	60000000	1000000	1	60	2.42646346485
chr1	60000000	61000000	1000000	1	61	2.39105015997
chr1	61000000	62000000	1000000	1	62	-2.75986224453
chr1	62000000	63000000	1000000	1	63	-0.820723127166
chr1	63000000	64000000	1000000	1	64	1.67145060879
chr1	64000000	65000000	1000000	1	65	0.834164442036
chr1	65000000	66000000	1000000	1	66	-1.20608372598
chr1	66000000	67000000	1000000	1	67	-0.128784877
chr1	67000000	68000000	1000000	1	68	-2.11619014053
chr1	68000000	69000000	1000000	1	69	-3.59612771679
chr1	69000000	70000000	1000000	1	70	-3.97828710186
chr1	70000000	71000000	1000000	1	71	-3.20946551771
chr1	71000000	72000000	1000000	1	72	0.981469149848
chr1	72000000	73000000	1000000	1	73	2.71290534356
chr1	73000000	74000000	1000000	1	74	-0.0347297239686
chr1	74000000	75000000	1000000	1	75	3.30288289135
chr1	75000000	76000000	1000000	1	76	1.63191773327
chr1	76000000	77000000	1000000	1	77	-3.38837692771
chr1	77000000	78000000	1000000	1	78	-0.802251605483
chr1	78000000	79000000	1000000	1	79	0.386094191737
chr1	79000000	80000000	1000000	1	80	-1.78397968541
chr1	80000000	81000000	1000000	1	81	-2.02492840833
chr1	81000000	82000000	1000000	1	82	-3.5735477593
chr1	82000000	83000000	1000000	1	83	-1.59382091304
chr1	83000000	84000000	1000000	1	84	-2.57937826824
chr1	84000000	85000000	1000000	1	85	0.756003897144
chr1	85000000	86000000	1000000	1	86	-1.38287450517
chr1	86000000	87000000	1000000	1	87	2.80306534661
chr1	87000000	88000000	1000000	1	88	2.82645020503
chr1	88000000	89000000	1000000	1	89	0.698026664951
chr1	89000000	90000000	1000000	1	90	1.38124410736
chr1	90000000	91000000	1000000	1	91	0.700866826349
chr1	91000000	92000000	1000000	1	92	0.609712146722
chr1	92000000	93000000	1000000	1	93	0.9333247492
chr1	93000000	94000000	1000000	1	94	2.27128354554
chr1	94000000	95000000	1000000	1	95	-2.73300338417
chr1	95000000	96000000	1000000	1	96	-3.05384379244
chr1	96000000	97000000	1000000	1	97	-3.26808154844
chr1	97000000	98000000	1000000	1	98	-2.71296100109
chr1	98000000	99000000	1000000	1	99	-3.1210710794
chr1	99000000	100000000	1000000	1	100	-3.65520162985
chr1	100000000	101000000	1000000	1	101	-3.41495934843
chr1	101000000	102000000	1000000	1	102	-3.08098896241
chr1	102000000	103000000	1000000	1	103	-3.36179506293
chr1	103000000	104000000	1000000	1	104	-3.4193724059
chr1	104000000	105000000	1000000	1	105	-3.55523568211
chr1	105000000	106000000	1000000	1	106	-0.867516871444
chr1	106000000	107000000	1000000	1	107	-0.937189418657
chr1	107000000	108000000	1000000	1	108	-3.51380478474
chr1	108000000	109000000	1000000	1	109	-3.05370202142
chr1	109000000	110000000	1000000	1	110	-3.02719518774
chr1	110000000	111000000	1000000	1	111	-3.19852605276
chr1	111000000	112000000	1000000	1	112	-3.39360668958
chr1	112000000	113000000	1000000	1	113	-2.76999827408
chr1	113000000	114000000	1000000	1	114	-3.20992097865
chr1	114000000	115000000	1000000	1	115	-3.4331058017
chr1	115000000	116000000	1000000	1	116	-3.723007598
chr1	116000000	117000000	1000000	1	117	-3.76752516441
chr1	117000000	118000000	1000000	1	118	-2.20589695136
chr1	118000000	119000000	1000000	1	119	2.45896894022
chr1	119000000	120000000	1000000	1	120	2.51074645234
chr1	120000000	121000000	1000000	1	121	-0.365748777134
chr1	121000000	122000000	1000000	1	122	-2.2919251523
chr1	122000000	123000000	1000000	1	123	-3.65412641691
chr1	123000000	124000000	1000000	1	124	-3.55537997933
chr1	124000000	125000000	1000000	1	125	-3.83270180935
chr1	125000000	126000000	1000000	1	126	-1.45638249949
chr1	126000000	127000000	1000000	1	127	-3.27318230548
chr1	127000000	128000000	1000000	1	128	0.884085783623
chr1	128000000	129000000	1000000	1	129	0.981962772053
chr1	129000000	130000000	1000000	1	130	-3.71236737822
chr1	130000000	131000000	1000000	1	131	-0.779282403605
chr1	131000000	132000000	1000000	1	132	2.85172082741
chr1	132000000	133000000	1000000	1	133	3.1286972558
chr1	133000000	134000000	1000000	1	134	3.19755378645
chr1	134000000	135000000	1000000	1	135	2.90229092308
chr1	135000000	136000000	1000000	1	136	3.36953757901
chr1	136000000	137000000	1000000	1	137	2.85953009792
chr1	137000000	138000000	1000000	1	138	-2.03106436727
chr1	138000000	139000000	1000000	1	139	-2.19225740146
chr1	139000000	140000000	1000000	1	140	-1.03262483425
chr1	140000000	141000000	1000000	1	141	-1.35352299651
chr1	141000000	142000000	1000000	1	142	-3.64882965476
chr1	142000000	143000000	1000000	1	143	-3.78245394794
chr1	143000000	144000000	1000000	1	144	-0.921504092975
chr1	144000000	145000000	1000000	1	145	-3.49693575316
chr1	145000000	146000000	1000000	1	146	-3.8992902511
chr1	146000000	147000000	1000000	1	147	-2.90389681796
chr1	147000000	148000000	1000000	1	148	-3.68822311993
chr1	148000000	149000000	1000000	1	149	-3.59358987651
chr1	149000000	150000000	1000000	1	150	-3.63793596584
