chr	bin_start	bin_end	bin_len	chr_ind	bin_ind
chr1	1	1000000	999999	1	1	55.7959681352
chr1	1000000	2000000	1000000	1	2	79.2081479
chr1	2000000	3000000	1000000	1	3	62.1339419
chr1	3000000	4000000	1000000	1	4	49.6154759
chr1	4000000	5000000	1000000	1	5	32.0775472
chr1	5000000	6000000	1000000	1	6	34.6667513
chr1	6000000	7000000	1000000	1	7	74.0961869
chr1	7000000	8000000	1000000	1	8	52.9182254
chr1	8000000	9000000	1000000	1	9	73.4500613
chr1	9000000	10000000	1000000	1	10	78.4037284
chr1	10000000	11000000	1000000	1	11	76.535679
chr1	11000000	12000000	1000000	1	12	74.369831
chr1	12000000	13000000	1000000	1	13	70.9566439
chr1	13000000	14000000	1000000	1	14	44.567159
chr1	14000000	15000000	1000000	1	15	46.662411
chr1	15000000	16000000	1000000	1	16	65.3167304
chr1	16000000	17000000	1000000	1	17	75.9798524
chr1	17000000	18000000	1000000	1	18	62.0013955
chr1	18000000	19000000	1000000	1	19	42.8338878
chr1	19000000	20000000	1000000	1	20	68.2821915
chr1	20000000	21000000	1000000	1	21	64.1905164
chr1	21000000	22000000	1000000	1	22	70.7464736
chr1	22000000	23000000	1000000	1	23	71.6060199
chr1	23000000	24000000	1000000	1	24	74.2822464
chr1	24000000	25000000	1000000	1	25	76.9865302
chr1	25000000	26000000	1000000	1	26	77.4068083
chr1	26000000	27000000	1000000	1	27	76.2118644
chr1	27000000	28000000	1000000	1	28	77.9388063
chr1	28000000	29000000	1000000	1	29	79.3313476
chr1	29000000	30000000	1000000	1	30	64.2975368
chr1	30000000	31000000	1000000	1	31	50.0563442
chr1	31000000	32000000	1000000	1	32	72.6904678
chr1	32000000	33000000	1000000	1	33	77.9092048
chr1	33000000	34000000	1000000	1	34	74.2704116
chr1	34000000	35000000	1000000	1	35	46.579287
chr1	35000000	36000000	1000000	1	36	64.2732886
chr1	36000000	37000000	1000000	1	37	78.0833661
chr1	37000000	38000000	1000000	1	38	60.4453835
chr1	38000000	39000000	1000000	1	39	72.6786655
chr1	39000000	40000000	1000000	1	40	72.9655118
chr1	40000000	41000000	1000000	1	41	78.6368349
chr1	41000000	42000000	1000000	1	42	70.7040951
chr1	42000000	43000000	1000000	1	43	69.5630596
chr1	43000000	44000000	1000000	1	44	69.727318
chr1	44000000	45000000	1000000	1	45	73.4416367
chr1	45000000	46000000	1000000	1	46	78.0638108
chr1	46000000	47000000	1000000	1	47	78.4205481
chr1	47000000	48000000	1000000	1	48	64.2595958
chr1	48000000	49000000	1000000	1	49	32.4089719
chr1	49000000	50000000	1000000	1	50	14.82599324
chr1	50000000	51000000	1000000	1	51	31.4781374
chr1	51000000	52000000	1000000	1	52	70.1227858
chr1	52000000	53000000	1000000	1	53	73.234188
chr1	53000000	54000000	1000000	1	54	71.4561118
chr1	54000000	55000000	1000000	1	55	68.3895
chr1	55000000	56000000	1000000	1	56	60.8654738
chr1	56000000	57000000	1000000	1	57	37.1597885
chr1	57000000	58000000	1000000	1	58	20.1357106
chr1	58000000	59000000	1000000	1	59	34.8094083
chr1	59000000	60000000	1000000	1	60	62.3402343
chr1	60000000	61000000	1000000	1	61	34.5207839
chr1	61000000	62000000	1000000	1	62	33.1948082
chr1	62000000	63000000	1000000	1	63	54.671002
chr1	63000000	64000000	1000000	1	64	55.6021018
chr1	64000000	65000000	1000000	1	65	36.4424016
chr1	65000000	66000000	1000000	1	66	49.8826365
chr1	66000000	67000000	1000000	1	67	63.7650169
chr1	67000000	68000000	1000000	1	68	64.7948646
chr1	68000000	69000000	1000000	1	69	44.8994324
chr1	69000000	70000000	1000000	1	70	13.09898917
chr1	70000000	71000000	1000000	1	71	41.1143949
chr1	71000000	72000000	1000000	1	72	31.0559641
chr1	72000000	73000000	1000000	1	73	11.9334528
chr1	73000000	74000000	1000000	1	74	7.07078253
chr1	74000000	75000000	1000000	1	75	20.09069442
chr1	75000000	76000000	1000000	1	76	31.9594938
chr1	76000000	77000000	1000000	1	77	35.020826
chr1	77000000	78000000	1000000	1	78	43.4136218
chr1	78000000	79000000	1000000	1	79	67.7737449
chr1	79000000	80000000	1000000	1	80	38.6866133
chr1	80000000	81000000	1000000	1	81	17.6522477
chr1	81000000	82000000	1000000	1	82	19.4377394
chr1	82000000	83000000	1000000	1	83	21.8888711
chr1	83000000	84000000	1000000	1	84	26.2686299
chr1	84000000	85000000	1000000	1	85	45.1541566
chr1	85000000	86000000	1000000	1	86	61.6092499
chr1	86000000	87000000	1000000	1	87	49.2327508
chr1	87000000	88000000	1000000	1	88	60.1770994
chr1	88000000	89000000	1000000	1	89	39.5885658
chr1	89000000	90000000	1000000	1	90	61.4708157
chr1	90000000	91000000	1000000	1	91	66.412657
chr1	91000000	92000000	1000000	1	92	46.933121
chr1	92000000	93000000	1000000	1	93	65.2503886
chr1	93000000	94000000	1000000	1	94	74.4545608
chr1	94000000	95000000	1000000	1	95	54.8104062
chr1	95000000	96000000	1000000	1	96	34.513461
chr1	96000000	97000000	1000000	1	97	14.1004237
chr1	97000000	98000000	1000000	1	98	28.7210449
chr1	98000000	99000000	1000000	1	99	27.6216539
chr1	99000000	100000000	1000000	1	100	34.8838815
chr1	100000000	101000000	1000000	1	101	71.8715867
chr1	101000000	102000000	1000000	1	102	74.4725606
chr1	102000000	103000000	1000000	1	103	48.3158862
chr1	103000000	104000000	1000000	1	104	16.51864779
chr1	104000000	105000000	1000000	1	105	16.8200581
chr1	105000000	106000000	1000000	1	106	17.900703
chr1	106000000	107000000	1000000	1	107	10.17181052
chr1	107000000	108000000	1000000	1	108	30.7917272
chr1	108000000	109000000	1000000	1	109	51.2741977
chr1	109000000	110000000	1000000	1	110	71.0884142
chr1	110000000	111000000	1000000	1	111	72.73874
chr1	111000000	112000000	1000000	1	112	75.7512281
chr1	112000000	113000000	1000000	1	113	71.9835228
chr1	113000000	114000000	1000000	1	114	67.9283011
chr1	114000000	115000000	1000000	1	115	68.5756904
chr1	115000000	116000000	1000000	1	116	45.4233513
chr1	116000000	117000000	1000000	1	117	49.7999014
chr1	117000000	118000000	1000000	1	118	64.6172989
chr1	118000000	119000000	1000000	1	119	45.7349447
chr1	119000000	120000000	1000000	1	120	39.4448303
chr1	120000000	121000000	1000000	1	121	56.0362547
chr1	121000000	122000000	1000000	1	122	15.989968761
chr1	122000000	123000000	1000000	1	123	3.53221316868e-06
chr1	123000000	124000000	1000000	1	124	0
chr1	124000000	125000000	1000000	1	125	0
chr1	125000000	126000000	1000000	1	126	0
chr1	126000000	127000000	1000000	1	127	0
chr1	127000000	128000000	1000000	1	128	0
chr1	128000000	129000000	1000000	1	129	0
chr1	129000000	130000000	1000000	1	130	0
chr1	130000000	131000000	1000000	1	131	0
chr1	131000000	132000000	1000000	1	132	0
chr1	132000000	133000000	1000000	1	133	0
chr1	133000000	134000000	1000000	1	134	0
chr1	134000000	135000000	1000000	1	135	0
chr1	135000000	136000000	1000000	1	136	0
chr1	136000000	137000000	1000000	1	137	0
chr1	137000000	138000000	1000000	1	138	0
chr1	138000000	139000000	1000000	1	139	0
chr1	139000000	140000000	1000000	1	140	0
chr1	140000000	141000000	1000000	1	141	0
chr1	141000000	142000000	1000000	1	142	0.000254381742739
chr1	142000000	143000000	1000000	1	143	14.085901957
chr1	143000000	144000000	1000000	1	144	25.47227085
chr1	144000000	145000000	1000000	1	145	51.8338436
chr1	145000000	146000000	1000000	1	146	64.8612527
chr1	146000000	147000000	1000000	1	147	48.1670355
chr1	147000000	148000000	1000000	1	148	47.4614472
chr1	148000000	149000000	1000000	1	149	39.6137894
chr1	149000000	150000000	1000000	1	150	48.0912268
chr1	150000000	151000000	1000000	1	151	78.3719535
chr1	151000000	152000000	1000000	1	152	74.1639402
chr1	152000000	153000000	1000000	1	153	48.0589223
chr1	153000000	154000000	1000000	1	154	70.5235824
chr1	154000000	155000000	1000000	1	155	78.5011966
chr1	155000000	156000000	1000000	1	156	78.4545797
chr1	156000000	157000000	1000000	1	157	77.8243803
chr1	157000000	158000000	1000000	1	158	65.2598783
chr1	158000000	159000000	1000000	1	159	42.5459348
chr1	159000000	160000000	1000000	1	160	55.419982
chr1	160000000	161000000	1000000	1	161	78.3709298
chr1	161000000	162000000	1000000	1	162	78.3840322
chr1	162000000	163000000	1000000	1	163	62.5074036
chr1	163000000	164000000	1000000	1	164	25.76199602
chr1	164000000	165000000	1000000	1	165	12.76781968
chr1	165000000	166000000	1000000	1	166	52.6422197
chr1	166000000	167000000	1000000	1	167	45.6703988
chr1	167000000	168000000	1000000	1	168	73.5406356
chr1	168000000	169000000	1000000	1	169	60.6662863
chr1	169000000	170000000	1000000	1	170	68.7569934
chr1	170000000	171000000	1000000	1	171	48.6814
chr1	171000000	172000000	1000000	1	172	55.7601409
chr1	172000000	173000000	1000000	1	173	64.5610582
chr1	173000000	174000000	1000000	1	174	67.3738435
chr1	174000000	175000000	1000000	1	175	66.2331318
chr1	175000000	176000000	1000000	1	176	58.4530273
chr1	176000000	177000000	1000000	1	177	32.5357153
chr1	177000000	178000000	1000000	1	178	21.7594914
chr1	178000000	179000000	1000000	1	179	51.1461134
chr1	179000000	180000000	1000000	1	180	64.1263218
chr1	180000000	181000000	1000000	1	181	72.1940738
chr1	181000000	182000000	1000000	1	182	66.6801714
chr1	182000000	183000000	1000000	1	183	68.1095041
chr1	183000000	184000000	1000000	1	184	72.8037387
chr1	184000000	185000000	1000000	1	185	60.0549091
chr1	185000000	186000000	1000000	1	186	48.3231772
chr1	186000000	187000000	1000000	1	187	47.9634521
chr1	187000000	188000000	1000000	1	188	32.9512142
chr1	188000000	189000000	1000000	1	189	17.89915859
chr1	189000000	190000000	1000000	1	190	8.90580875
chr1	190000000	191000000	1000000	1	191	13.504063
chr1	191000000	192000000	1000000	1	192	28.0329309
chr1	192000000	193000000	1000000	1	193	70.084538
chr1	193000000	194000000	1000000	1	194	47.866449
chr1	194000000	195000000	1000000	1	195	20.9430582
chr1	195000000	196000000	1000000	1	196	14.9470616
chr1	196000000	197000000	1000000	1	197	19.5326491
chr1	197000000	198000000	1000000	1	198	38.2281558
chr1	198000000	199000000	1000000	1	199	64.8581403
chr1	199000000	200000000	1000000	1	200	52.2299671
chr1	200000000	201000000	1000000	1	201	74.9682775
chr1	201000000	202000000	1000000	1	202	71.4981054
chr1	202000000	203000000	1000000	1	203	71.5167349
chr1	203000000	204000000	1000000	1	204	73.9645886
chr1	204000000	205000000	1000000	1	205	70.2361224
chr1	205000000	206000000	1000000	1	206	68.0164695
chr1	206000000	207000000	1000000	1	207	64.5348559
chr1	207000000	208000000	1000000	1	208	73.7601442
chr1	208000000	209000000	1000000	1	209	48.7697703
chr1	209000000	210000000	1000000	1	210	49.7338944
chr1	210000000	211000000	1000000	1	211	51.9415256
chr1	211000000	212000000	1000000	1	212	66.7022211
chr1	212000000	213000000	1000000	1	213	77.92488
chr1	213000000	214000000	1000000	1	214	63.2661766
chr1	214000000	215000000	1000000	1	215	37.7575582
chr1	215000000	216000000	1000000	1	216	25.1862581
